"job_work_from_home","job_posted_date","job_no_degree_mention","job_health_insurance","salary_year_avg","salary_hour_avg","search_location","salary_rate","job_title_short","job_title","job_location","job_via","job_schedule_type","job_country","company_id","count"
"","2023-03-20 19:30:49","","","","","United Arab Emirates","","Business Analyst","Analyst or Senior Analyst Jobs in Abu Dhabi","Abu Dhabi - United Arab Emirates","via Discover Exciting Job Opportunities In The UAE","Full-time","United Arab Emirates",12,"2"
"","2023-05-29 18:08:31","","","","","India","","Data Scientist","Data Scientist","Gurugram, Haryana, India","via BeBee India","Full-time","India",33,"3"
"","2022-12-31 07:29:07","","","","","India","","Data Scientist","Data Scientist","Chennai, Tamil Nadu, India","via BeBee India","Full-time","India",46,"2"
"","2023-05-02 17:15:07","","","","","India","","Data Scientist","Data Scientist / Machine Learning","Noida, Uttar Pradesh, India","via Indeed","Full-time","India",46,"2"
"","2023-11-14 19:41:16","","","","","Italy","","Business Analyst","en-US","Milan, Metropolitan City of Milan, Italy","via BeBee","Full-time","Italy",47,"2"
"","2023-04-01 06:03:04","",1,"","","New York, United States","","Data Scientist","Data Scientist, Mid - Now Hiring","Arlington, VA","via Snagajob","Full-time","United States",49,"2"
"","2023-02-28 14:16:56","","","","","Poland","","Data Scientist","Data Scientist","Warsaw, Poland","via Trabajo.org","Full-time","Poland",66,"2"
"","2023-06-04 14:12:08","","","","","Poland","","Data Scientist","Data Scientist","Warsaw, Poland","via Praca Trabajo.org","Full-time","Poland",66,"2"
"","2023-02-28 15:39:57","","","","","Denmark","","Data Scientist","Data Team Lead","Copenhagen, Denmark","via BeBee","Full-time","Denmark",74,"2"
"","2023-08-23 23:30:14","","","","","Italy","","Business Analyst","Business Analyst","Rome, Metropolitan City of Rome Capital, Italy","via Trabajo. Org","Full-time","Italy",88,"2"
"","2023-01-21 08:24:49",1,"","","","Canada","","Data Engineer","Data Engineer","Halifax, NS, Canada","via BeBee Canada","Full-time","Canada",96,"2"
"","2023-01-20 18:40:38","",1,"","","Georgia","","Data Scientist","Data Scientist with Security Clearance","Washington, DC","via LinkedIn","Full-time","United States",100,"2"
"","2023-01-20 19:00:45","","","","","New York, United States","","Data Analyst","Data Analyst with Security Clearance","Washington, DC","via LinkedIn","Full-time","United States",100,"2"
"","2023-01-20 19:00:56","","","","","New York, United States","","Data Analyst","Data Analyst with Security Clearance","Washington, DC","via LinkedIn","Full-time","United States",100,"3"
"","2023-01-20 19:20:19","","","","","Florida, United States","","Data Scientist","Data Scientist with Security Clearance","Tampa, FL","via LinkedIn","Full-time","United States",100,"2"
"","2023-01-20 20:00:45","","","","","New York, United States","","Data Analyst","Data Analyst with Security Clearance","Washington, DC","via LinkedIn","Full-time","United States",100,"2"
"","2023-01-05 02:42:56","","","","","Bangladesh","","Senior Data Scientist","Remote Senior Data Scientist Jobs Bangladesh","Bangladesh","via Trabajo.org","Full-time","Bangladesh",113,"2"
"","2023-06-23 12:11:17","","","","","United Arab Emirates","","Data Analyst","Data Analyst","United Arab Emirates","via BeBee","Full-time","United Arab Emirates",113,"2"
"","2023-06-23 12:11:23","","","","","United Arab Emirates","","Data Scientist","Data Scientist","United Arab Emirates","via BeBee","Full-time","United Arab Emirates",113,"2"
"","2023-06-23 15:11:45","","","","","United Arab Emirates","","Machine Learning Engineer","Machine Learning Engineer","United Arab Emirates","via Trabajo.org","Full-time","United Arab Emirates",113,"2"
"","2023-07-01 13:13:36","","","","","United Arab Emirates","","Data Scientist","Data Scientist","United Arab Emirates","via BeBee","Full-time","United Arab Emirates",113,"2"
"","2023-07-03 11:12:28","","","","","United Arab Emirates","","Data Scientist","Data Scientist","United Arab Emirates","via Trabajo.org","Full-time","United Arab Emirates",113,"3"
1,"2023-01-16 12:55:40","","","","","Turkey","","Data Scientist","Remote Data Scientist Jobs","Anywhere","via LinkedIn","Full-time","Turkey",113,"3"
1,"2023-07-15 12:14:51","","","","","Brazil","","Senior Data Engineer","Senior Data Engineer","Anywhere","via LinkedIn","Full-time","Brazil",113,"3"
1,"2023-08-08 13:14:40","","","","","Brazil","","Machine Learning Engineer","Machine Learning Engineer","Anywhere","via Jobgether","Full-time","Brazil",113,"2"
"","2023-05-30 14:10:46","","","","","India","","Data Scientist","Data Scientist","Bengaluru, Karnataka, India","via LinkedIn","Full-time","India",116,"2"
"","2023-04-21 17:32:21",1,"","","","India","","Data Analyst","Data Analyst","Hyderabad, Telangana, India","via LinkedIn","Full-time","India",132,"2"
"","2023-04-21 17:32:31","","","","","India","","Data Scientist","Data Scientist","Hyderabad, Telangana, India","via LinkedIn","Full-time","India",132,"2"
"","2023-02-16 23:12:17","","","","","India","","Data Analyst","Data Analyst","Hyderabad, Telangana, India","via Indeed","Full-time","India",152,"2"
"","2023-02-17 23:14:19","","","","","India","","Data Analyst","Data Analyst","Hyderabad, Telangana, India","via The Muse","Full-time","India",152,"2"
"","2023-04-02 14:18:07",1,"","","","South Africa","","Data Engineer","Data Engineer","Pretoria, South Africa","via BeBee South Africa","Contractor","South Africa",158,"2"
"","2023-05-31 17:27:24","","","","","South Africa","","Data Engineer","Data Engineer","Johannesburg, South Africa","via BeBee South Africa","Full-time","South Africa",158,"2"
"","2023-06-14 07:15:24","","","","","United Kingdom","","Data Scientist","Data Scientist","London, UK","via LinkedIn","Full-time","United Kingdom",162,"2"
"","2023-08-19 17:14:59","","","","","United Kingdom","","Data Scientist","Data Scientist","London, UK","via LinkedIn","Full-time","United Kingdom",162,"2"
"","2023-08-28 17:30:06","","","","","United Kingdom","","Data Scientist","Data Science Manager","London, UK","via LinkedIn","Full-time","United Kingdom",162,"2"
"","2023-10-23 04:28:56",1,"","","","United Kingdom","","Business Analyst","Marketing Analyst","Sheffield, UK","via LinkedIn","Full-time","United Kingdom",162,"2"
"","2023-10-23 04:29:09","","","","","United Kingdom","","Data Scientist","Data Science Manager","Leeds, UK","via LinkedIn","Full-time","United Kingdom",162,"2"
"","2023-11-08 12:42:54",1,"","","","New Zealand","","Data Analyst","Data Analytics Manager","New Zealand","via LinkedIn","Full-time","New Zealand",162,"2"
"","2023-04-25 11:11:03","","","","","Ireland","","Senior Data Engineer","Senior Data Engineer","Dublin, Ireland","via Indeed","Full-time","Ireland",167,"2"
"","2023-09-11 12:34:08","","","","","Ireland","","Senior Data Engineer","Senior Data Engineer - Dublin - Permanent - Hybrid","Dublin, Ireland","via Indeed.ie","Full-time","Ireland",167,"2"
"","2023-02-08 23:11:36","","","","","India","","Data Scientist","Lead Analytics Consultant","Hyderabad, Telangana, India","via LinkedIn","Full-time","India",187,"2"
"","2023-04-07 15:28:55",1,"","","","India","","Senior Data Analyst","Senior Data Management Analyst","Hyderabad, Telangana, India","via LinkedIn","Full-time","India",187,"2"
"","2023-04-12 10:57:08","","","","","Latvia","","Data Engineer","Key Data Engineer (Python / Scala / Azure)","Latvia","via The Muse","Full-time","Latvia",212,"2"
"","2023-04-12 11:03:37","","","","","Kazakhstan","","Data Engineer","Key Data Engineer (Python / Scala / Azure)","Kazakhstan","via The Muse","Full-time","Kazakhstan",212,"2"
"","2023-04-12 11:05:23","","","","","Lithuania","","Data Engineer","Key Data Engineer (Python / Scala / Azure)","Lithuania","via The Muse","Full-time","Lithuania",212,"2"
"","2023-05-25 16:46:36",1,"","","","Greece","","Senior Data Engineer","Senior Data Engineer","Greece","via Indeed","Full-time","Greece",212,"2"
"","2023-08-09 11:09:40",1,"","","","Latvia","","Data Engineer","Key Data Engineer (Python / Scala / Azure)","Latvia","via The Muse","Full-time","Latvia",212,"2"
"","2023-11-11 07:17:17","","","","","Qatar","","Software Engineer","Senior Software Engineer","Doha, Qatar","via BeBee دولة قطر","Full-time","Qatar",212,"2"
"","2023-02-21 14:39:18","","","","","Italy","","Machine Learning Engineer","Process Engineer","Treviso, Province of Treviso, Italy","via Lavoro Trabajo.org","Full-time","Italy",215,"2"
"","2023-01-28 04:11:02","","","","","Ireland","","Data Scientist","Data Scientist","Dublin, Ireland","via LinkedIn","Full-time","Ireland",218,"2"
1,"2023-02-03 17:59:02","","","","","Uzbekistan","","Senior Data Engineer","Senior Big Data Engineer","Anywhere","via LinkedIn Uzbekistan","Full-time","Uzbekistan",235,"2"
1,"2023-02-03 18:08:25","","","","","Armenia","","Senior Data Engineer","Senior Big Data Engineer","Anywhere","via LinkedIn Armenia","Full-time","Armenia",235,"2"
1,"2023-02-08 20:04:02","","","","","Uzbekistan","","Senior Data Engineer","Senior Data Quality Engineer","Anywhere","via LinkedIn Uzbekistan","Full-time","Uzbekistan",235,"2"
1,"2023-02-17 12:00:35","","","","","Uzbekistan","","Senior Data Engineer","Senior Data Quality Engineer","Anywhere","via LinkedIn Uzbekistan","Full-time","Uzbekistan",235,"2"
1,"2023-03-24 18:28:15","","","","","Kazakhstan","","Senior Data Scientist","Senior Data Scientist","Anywhere","via LinkedIn","Full-time","Kazakhstan",235,"3"
1,"2023-03-24 18:37:14","","","","","Uzbekistan","","Senior Data Scientist","Senior Data Scientist","Anywhere","via LinkedIn Uzbekistan","Full-time","Uzbekistan",235,"2"
1,"2023-09-04 17:09:00","","","","","India","","Data Engineer","Lead Data Engineer","Anywhere","via LinkedIn","Full-time","India",235,"2"
"","2023-03-18 11:28:11","","","","","Argentina","","Data Scientist","Data Science","Buenos Aires, Argentina","via BeBee","Full-time","Argentina",246,"2"
"","2023-09-19 10:10:50","","","","","India","","Data Analyst","Data Analyst","Hyderabad, Telangana, India","via BeBee India","Full-time","India",304,"2"
"","2023-04-15 00:19:01",1,"","","","Chile","","Data Analyst","Data analyst","Las Condes, Chile","via Sercanto","Full-time","Chile",346,"2"
"","2023-01-05 10:49:13",1,"","","","Morocco","","Data Engineer","Data Engineer","Casablanca, Morocco","via Emplois Trabajo.org","Full-time","Morocco",348,"2"
"","2023-03-23 10:24:01","","","","","India","","Data Engineer","Big Data Engineer","Bengaluru, Karnataka, India","via LinkedIn","Full-time","India",348,"2"
"","2023-05-31 20:21:50","","","","","Mexico","","Data Scientist","Data Scientist","Mexico","via Indeed","Full-time","Mexico",348,"2"
"","2023-11-07 09:02:28","","","","","New York, United States","","Senior Data Scientist","Senior Data Scientist","New York, NY","via IBM - Talentify","Full-time","United States",348,"2"
"","2023-03-23 09:05:42","",1,"","","California, United States","","Data Scientist","(USA) Senior Manager II, Data Science","Sunnyvale, CA","via LinkedIn","Full-time","United States",367,"2"
"","2023-06-27 23:46:48","","","","","Sudan","","Data Scientist","Director, Data Science","Bentonville, AR","via Trabajo.org","Full-time","Sudan",367,"2"
"","2023-08-25 08:41:31","",1,"","","Sudan","","Data Scientist","Principal Data Scientist","Bentonville, AR","via Jobs Trabajo.org","Full-time","Sudan",367,"2"
"","2023-03-03 18:17:48","","","","","United Kingdom","","Senior Data Engineer","Senior Data Engineer","London, UK","via LinkedIn","Full-time","United Kingdom",386,"2"
"","2023-05-01 17:18:51","","","","","United Kingdom","","Senior Data Engineer","Senior Data Engineer","London, UK","via LinkedIn","Full-time","United Kingdom",386,"2"
"","2023-07-17 17:27:49","","","","","United Kingdom","","Data Engineer","Data Engineer","London, UK","via LinkedIn","Full-time","United Kingdom",386,"2"
"","2023-03-14 13:19:28","","","","","India","","Data Analyst","Data Analyst","Hyderabad, Telangana, India","via LinkedIn","Full-time","India",395,"2"
"","2023-04-28 17:13:34","","","","","India","","Data Scientist","Data Scientist","India","via Indeed","Full-time","India",467,"2"
"","2023-01-15 06:19:01","","","","","Mexico","","Data Scientist","Data Scientist","Xico, Ver., Mexico","via Trabajo.org","Full-time","Mexico",540,"2"
"","2023-07-22 06:27:24","","","","","Peru","","Data Scientist","Data Scientist","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-07-22 06:27:36",1,"","","","Peru","","Data Engineer","Data Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"3"
"","2023-07-27 07:14:30","","","","","Argentina","","Data Scientist","Data Scientist","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-07-28 07:11:56","","","","","Peru","","Senior Data Scientist","Senior Data Scientist","Cajamarca, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-07-28 07:13:02",1,"","","","Argentina","","Data Analyst","Data Analyst","Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-07-28 08:13:07","","","","","Argentina","","Data Scientist","Data Scientist","Buenos Aires, Argentina","via BeBee","Full-time","Argentina",572,"2"
"","2023-07-29 07:10:48",1,"","","","Peru","","Software Engineer","Software Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-02 07:12:04","","","","","Argentina","","Data Scientist","Data Scientist","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-08-03 06:28:29","","","","","Peru","","Data Scientist","Data Scientist","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-03 07:11:27",1,"","","","Argentina","","Data Engineer","Data Engineer","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-08-03 07:11:46","","","","","Argentina","","Software Engineer","Senior Software Engineer","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"3"
"","2023-08-04 06:31:20","","","","","Peru","","Business Analyst","Business Analyst","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-04 07:10:21",1,"","","","Argentina","","Data Analyst","Data Analyst","Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-08-05 06:47:14",1,"","","","Argentina","","Data Engineer","Data Engineer","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-08-06 06:45:57","","","","","Argentina","","Data Engineer","Data Engineer","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-08-08 07:11:24","","","","","Argentina","","Data Scientist","Data Scientist","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-08-08 07:11:28","","","","","Argentina","","Data Analyst","Data Analytics","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-08-08 07:27:25","","","","","Peru","","Data Engineer","Data Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-09 08:09:23","","","","","Argentina","","Data Scientist","Data Scientist","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"5"
"","2023-08-11 07:30:34","","","","","Peru","","Data Engineer","Data Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-11 07:30:36","","","","","Peru","","Business Analyst","Business Analyst","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
